강의번호,강의명,교수명,시간/장소,학점,교양구분,정원,비고,분류
45741-01,자기관리와정신건강,윤혜영,성서 화12:0013:15 금10:3011:45(사132),3,균형교양,100,수강희망자,진로탐색/자기계발/창업
45738-01,실패를통한자기발견,최봉도,성서 화16:3017:45 목12:0013:15(영445),3,균형교양,100,수강희망자,진로탐색/자기계발/창업
43474-51,슬기로운진로선택창업,김주호,성서 수19:4020:25 금18:0019:35(의300),3,균형교양,80,수강희망자,진로탐색/자기계발/창업
32875-02,생명감수성인큐베이팅,최봉도,성서 월12:0013:15 수16:3017:45(영443),3,균형교양,100,수강희망자,철학과역사
32872-02,라틴아메리카의역사와문화,김영석,성서 월12:0013:15 수16:3017:45(영357),3,균형교양,100,수강희망자,철학과역사
32875-01,생명감수성인큐베이팅,김춘이,성서 월12:0013:15 수16:3017:45(스100),3,균형교양,100,수강희망자,철학과역사
32875-04,생명감수성인큐베이팅,김재현,성서 월12:0013:15 수16:3017:45(백201),3,균형교양,100,수강희망자,철학과역사
40015-51,이미지와영상으로풀어보는전쟁과인간,김봉숙,성서 화19:4020:25 목20:3022:05(사232),3,균형교양,100,수강희망자,철학과역사
43480-01,글로벌경제사로이해하는4차산업혁명,남대엽,성서 원격수업(4영역),3,균형교양,100,원격수업 수강희망자(http://ctl.kmu.ac.kr),철학과역사
32872-01,라틴아메리카의역사와문화,박윤주,성서 월12:0013:15 수16:3017:45(영445),3,균형교양,100,수강희망자,철학과역사
40015-01,이미지와영상으로풀어보는전쟁과인간,배은숙,성서 화09:0010:15 목15:0016:15(사222),3,균형교양,100,수강희망자,철학과역사
32875-03,생명감수성인큐베이팅,이인경,성서 월12:0013:15 수16:3017:45(의101),3,균형교양,100,수강희망자,철학과역사
32877-01,한국의역사와문화,임동민,성서 수13:3014:45 금16:3017:45(사132),3,균형교양,150,수강희망자,철학과역사
40065-01,21세기중국의이해,유정원,성서 원격수업(1영역),3,균형교양,150,원격수업 수강희망자(http://ctl.kmu.ac.kr),철학과역사
37553-01,행복의인문학,이유택,성서 월12:0013:15 수16:3017:45(영543),3,균형교양,100,수강희망자,철학과역사
42273-01,감정이해와철학적치유,권의섭,성서 월12:0013:15 수16:3017:45(사222),3,균형교양,100,수강희망자,철학과역사
42273-02,감정이해와철학적치유,권의섭,성서 화09:0010:15 목15:0016:15(스104),3,균형교양,100,수강희망자,철학과역사
35838-01,섬김의리더십과기독교윤리,이종원,성서 화13:00~14:50(스100),2,균형교양,100,수강희망자,철학과역사
40030-01,생각의차이,추제협,성서 월16:3017:45 목10:3011:45(영443),3,균형교양,100,수강희망자,철학과역사
32454-01,북한학,한병진,성서 화16:3017:45 목12:0013:15(스404),3,균형교양,80,수강희망자,철학과역사
40070-01,영상으로보는한국사,김백철,성서 월10:3011:45 목13:3014:45(영255),3,균형교양,100,수강희망자,철학과역사
32873-03,삶과죽음의철학,김형찬,성서 월12:0013:15 수16:3017:45(음101),3,균형교양,80,수강희망자,철학과역사
32873-01,삶과죽음의철학,이재성,성서 월12:0013:15 수16:3017:45(영545),3,균형교양,100,수강희망자,철학과역사
32873-02,삶과죽음의철학,이재성,성서 월16:3017:45 목10:3011:45(영357),3,균형교양,100,수강희망자,철학과역사
32873-51,삶과죽음의철학,이재성,성서 화19:4020:25 목20:3022:05(사135),3,균형교양,100,수강희망자,철학과역사
37608-01,논리와윤리,유원기,성서 월12:0013:15 수16:3017:45(영253),3,균형교양,100,수강희망자,철학과역사
45731-01,세계사와대한민국,이지용,성서 월12:0013:15 수16:3017:45(영249),3,균형교양,100,수강희망자,철학과역사
